4550,[2 1 1 0 2 0 0 2 0],0,-3
2815,[1 2 0 2 1 2 0 1 0],-2,-2
12711,[0 1 2 2 0 1 2 2 1],-1,-1
5765,[2 1 1 0 2 2 1 2 0],-1,-1
17933,[2 1 0 1 2 1 0 2 2],0,1
798,[0 2 1 2 0 0 1 0 0],0,2
19293,[0 2 1 0 1 1 2 2 2],0,1
16756,[1 2 1 2 2 2 1 1 2],0,1
5675,[2 1 0 0 1 2 1 2 0],-2,-2
12695,[2 1 0 2 0 1 2 2 1],0,1
16107,[0 2 1 2 0 0 1 1 2],0,-2
12969,[0 0 1 0 1 2 2 2 1],-1,-2
14311,[1 0 0 2 2 1 1 0 2],0,-2
14614,[1 2 0 1 0 0 2 0 2],-1,-3
8713,[1 0 2 1 2 2 2 0 1],0,1
7983,[0 0 2 1 2 2 1 0 1],0,-1
4329,[0 0 1 1 2 2 2 1 0],0,-2
18723,[0 1 1 0 0 2 1 2 2],0,-1
7264,[1 0 0 2 2 2 0 0 1],0,1
556,[1 2 1 2 0 2 0 0 0],0,-2
15775,[1 2 0 2 2 1 0 1 2],-1,-1
5688,[0 0 2 0 1 2 1 2 0],0,-3
943,[1 2 2 1 2 0 1 0 0],-1,1
4134,[0 1 0 0 0 2 2 1 0],2,0
7369,[1 2 2 2 0 0 1 0 1],0,-1
11771,[2 2 2 0 1 0 1 2 1],0,1
3381,[0 2 0 2 2 1 1 1 0],-2,-2
15027,[0 2 1 1 2 1 2 0 2],-1,-1
7049,[2 0 0 0 0 2 0 0 1],-2,0
18618,[0 2 1 2 1 1 1 2 2],0,1
11880,[0 0 0 2 2 0 1 2 1],-1,-1
8173,[1 0 2 2 1 0 2 0 1],0,1
1668,[0 1 2 1 2 0 2 0 0],0,1
13316,[2 1 0 1 2 0 0 0 2],0,1
15374,[2 0 1 2 0 0 0 1 2],-1,-1
1355,[2 1 0 2 1 2 1 0 0],0,-1
13630,[1 1 2 0 0 2 0 0 2],0,1
16900,[1 2 2 1 1 0 2 1 2],1,0
6215,[2 1 0 2 1 1 2 2 0],0,1
4676,[2 1 0 2 0 1 0 2 0],-2,-3
13525,[1 2 2 2 1 1 0 0 2],-2,-1
4241,[2 0 0 1 1 2 2 1 0],-2,-2
19408,[1 1 2 1 2 1 2 2 2],0,1
12888,[0 0 1 0 0 2 2 2 1],0,-2
18454,[1 1 1 2 2 0 1 2 2],0,1
11167,[1 2 1 2 2 0 0 2 1],0,1
13198,[1 1 2 2 0 0 0 0 2],-1,-3
596,[2 0 0 1 1 2 0 0 0],0,2
3864,[0 1 0 2 2 0 2 1 0],-1,-1
12285,[0 0 0 2 1 2 1 2 1],0,-1
4488,[0 2 0 1 1 0 0 2 0],0,-3
4845,[0 1 1 2 2 1 0 2 0],0,-1
12204,[0 0 0 2 0 2 1 2 1],0,-2
2083,[1 1 0 2 1 2 2 0 0],0,-1
491,[2 1 0 0 0 2 0 0 0],-2,0
9341,[2 2 2 0 1 2 0 1 1],0,1
2058,[0 2 0 1 1 2 2 0 0],0,-3
10873,[1 0 2 0 2 2 2 1 1],0,1
13497,[0 2 2 1 1 1 0 0 2],-1,1
9710,[2 2 1 2 2 0 1 1 1],0,1
15469,[1 2 2 2 1 0 0 1 2],-1,-1
964,[1 0 2 2 2 0 1 0 0],-2,-3
18350,[2 2 1 1 1 0 1 2 2],0,1
13765,[1 1 2 2 1 2 0 0 2],0,1
44,[2 2 1 1 0 0 0 0 0],0,-2
13571,[2 2 1 1 2 1 0 0 2],0,1
912,[0 1 2 0 2 0 1 0 0],0,-2
5148,[0 0 2 1 0 0 1 2 0],0,-2
17701,[1 2 1 1 2 0 0 2 2],0,1
15789,[0 1 2 2 2 1 0 1 2],-1,-1
12596,[2 1 1 1 2 0 2 2 1],-1,0
7350,[0 2 0 2 0 0 1 0 1],-1,1
13560,[0 2 0 1 2 1 0 0 2],-1,-1
16945,[1 2 1 0 2 0 2 1 2],-2,-1
13441,[1 1 2 2 0 1 0 0 2],0,-2
1843,[1 2 0 2 1 1 2 0 0],-2,-2
1213,[1 2 2 2 2 1 1 0 0],-2,-1
12451,[1 1 0 2 0 0 2 2 1],0,-1
13556,[2 0 0 1 2 1 0 0 2],0,1
8695,[1 0 0 1 2 2 2 0 1],2,0
4331,[2 0 1 1 2 2 2 1 0],-2,-1
15787,[1 0 2 2 2 1 0 1 2],-2,-1
17452,[1 0 1 1 2 2 2 1 2],-2,0
690,[0 2 1 1 2 2 0 0 0],-2,-3
18626,[2 1 2 2 1 1 1 2 2],-1,1
5583,[0 1 2 2 2 1 1 2 0],-1,-1
15450,[0 2 0 2 1 0 0 1 2],-2,-3
10278,[0 0 2 2 0 0 2 1 1],-1,-1
